id,full_text
1433048242292502529,message mike thekingdude church hurricaneida impact veritasradionet help 
1433426912676757508,live new area since june today first time hear siren see flash police fire ambulance light ida 
1433400935645163520,least dead remnants ida sweep new york new jersey amp connecticut 
1433269883006033920,superstorm sandy really bad suppose year storm less years ago ida drop three inch rain hour tri state area horrendous weather occurrences go even frequent due climatechange 
1433798026989031429,ida another black swan storm could cripple half ag export capacity harvest begin 
1433095376907669510,everyone texting message answer listen local news clean fridge leave f home last night affect everyone hurricaneida incredibly destructive please patient 
1432860354166591494,gottalaff guy get msnbc reporter shaq face report gulfport ms hurricaneida 
1433519222357962756,national weather service confirm touchdown four tornados new jersey pennsylvania wednesday night dailyvoice hurricaneida tornado 
1433166098548019206,mask update gov edwards sign new emergency order extend mask mandate th month 
1433619074857177089,leciamichelle maybe pick neighbor hurricaneida 
1433272125146677248,ida one catastrophic natural disaster century many house destroy flood streets nyc subways suspend tornados everywhere storm ida 
1433479959549521927,ida relay info purpose 
1433408738036092933,would like know decent weather safe place live us flood fire smokey go outside maga state leave ida fire 
1432887111657664513,catastrophic wind damage flash flood power outages affect millions new orleans shoutout rescuers grind pray casualties stay strong louisiana reserveready hurricaneida 
1433276712595476480,look like dorothy pick wrong home red slippers bring tornado ida rain 
1433314568302907393,nyc station subway ida nyc 
1432956535307636743,new power line stretch across near neworleans hurricaneida 
1433545428172148740,light recent flood topicals provide k relief fund beauty professionals someone know affect drop gofundme cashapp information amp c apply 
1433088119243526149,astros foundation accept donations affect hurricane ida pm today tomorrow pm drop crawford street union station entrance information please visit community hurricaneida donatenow 
1433896565056360449,nancook whcos roll paper towel sight ida donaldjtrumpjr 
1433570294409670661,geestweets cecilhurt guess take step far ida 
1432889201788428291,friend house near office sister work east jefferson hospital nurse katrina saw many things never mention bitch ida 
1433080838082768896,even though ida remnants mean still dangerous significant flood tornadoes big threat today northeast 
1433806466826244099,safe say god women turn one night ida sunny next day give us cold shoulder still feel rain womenbelike 
1433248847363444738,final update 
1433474024558956547,water cascade onto newyork city subway remnants hurricane ida bring flood rain northeast mother earth give us plenty warn continue warn us listen amp take action run patience climatecrisis climateaction 
1433512594187427840,laplace town people sit outside new orleans levees among place hit hardest hurricane ida residents feel abandon without power without cellphone service food spoil 
1433240612581613570,nyc cannot see anybody ida 
1433762493948649508,heroes sheroes man ny welcome southeast deal weekly ida chuckshumerisapussy 
1433408780801384456,govkathyhochul warn people new york ida get live detail brief andrewcuomo day henri hochul address press midnight storm 
1433260607269216258,ericowensdc rexchapman icymi hurricaneida destroy general lee 
1433623122863968258,governor edwards receive word fema request activate transitional shelter assistance program help provide temporary house thousands louisianans displace hurricane ida louisiananews ida regionalnews 
1432931231981838337,trend afghanistan biden ida taliban china covid afghan hurricane war via 
1433069336823050248,weather many storm tenure executive director hurricane ida something entirely different yesterday first chance assess damage since lose contact marine center gauge cameras read 
1433750302717530113,hearts prayers continuous linksinc camelliaroselinks louisiana louisianastrong 
1433388560258830341,tax crime worldpuppeteers make us pay double triple usury amount exist money bank give us publicloans puppet governments fee us tax justify leftovers taliban ida covid 
1433591776565137412,unreal ida lawx nola 
1433544104495955969,please keep watch mutualaidrelief account ig ways help southern louisiana recover hurricaneida list include need supply drop locations well local mutual aid organizations donate 
1433170503515217920,post tropical cyclone ida advisory post tropical cyclone ida bring widespread heavy rain areas life threaten flash flood along near track 
1433345790085410820,flood bristol crowleykia speak owner amp mayor live update nbcconnecticut ida 
1433420121373126658,newsone rt newsone hurricaneida police deploy anti loot around city way deter loot saw hurricane katrina devastate city 
